timestamp,system_state,temp_setpoint,humidity_setpoint,co2_setpoint,temp_probe1,temp_probe2,temp_probe3,temp_dht,temp_co2,humidity,co2_ppm,peltier_mode,peltier_duty,peltier_enabled,humidifier,internal_fan,vent_angle,vent_fan_speed,active_light_schedule,neopixel_color,neopixel_intensity,white_intensity,uv_intensity,photo_mode
2025-10-11T15:07:21.035483,active,10.0,60.0,1000.0,22.88,21.38,26.0,24.4,0.0,70.0,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:07:26.603403,active,10.0,60.0,1000.0,22.88,21.31,26.06,24.4,0.0,69.9,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:07:32.251186,active,10.0,60.0,1000.0,22.88,21.25,26.19,24.4,0.0,69.8,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:07:37.806042,active,10.0,60.0,1000.0,22.81,21.19,26.31,24.3,0.0,69.7,402,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:07:43.435253,active,10.0,60.0,1000.0,22.88,21.12,26.31,24.3,0.0,69.6,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:07:49.003827,active,10.0,60.0,1000.0,22.88,21.06,26.38,24.3,0.0,69.5,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:07:54.638144,active,10.0,60.0,1000.0,22.88,21.0,26.62,24.3,0.0,69.3,403,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:00.234928,active,10.0,60.0,1000.0,22.88,20.88,26.69,24.3,0.0,69.2,400,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:05.866740,active,10.0,60.0,1000.0,22.88,20.81,26.75,24.2,0.0,68.9,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
2025-10-11T15:08:12.436259,active,10.0,60.0,1000.0,22.88,20.75,26.81,24.2,0.0,68.9,404,cool,1.0,1,False,True,0,0,08:00-17:00,off,0,0,0,False
